년도,기상상태,지자체,발생건수,사망자수
2018,맑음,강남구,2,0
2018,맑음,강동구,2,0
2018,맑음,강북구,1,0
2018,맑음,강서구,2,0
2018,맑음,관악구,1,0
2018,맑음,광진구,4,0
2018,맑음,구로구,4,0
2018,맑음,노원구,1,0
2018,맑음,도봉구,1,0
2018,맑음,동대문구,5,0
2018,맑음,동작구,1,0
2018,맑음,마포구,4,0
2018,맑음,서초구,1,0
2018,맑음,성동구,3,0
2018,맑음,성북구,3,0
2018,맑음,영등포구,3,0
2018,맑음,용산구,2,0
2018,맑음,은평구,2,0
2018,맑음,종로구,3,0
2018,맑음,중랑구,4,0
2018,흐림,강남구,1,0
2019,기타,서초구,1,0
2019,맑음,강남구,35,0
2019,맑음,강동구,2,0
2019,맑음,강북구,1,0
2019,맑음,강서구,4,0
2019,맑음,관악구,2,0
2019,맑음,광진구,7,0
2019,맑음,구로구,3,0
2019,맑음,금천구,5,0
2019,맑음,노원구,3,0
2019,맑음,도봉구,3,0
2019,맑음,동대문구,3,0
2019,맑음,동작구,1,0
2019,맑음,마포구,4,1
2019,맑음,서대문구,3,0
2019,맑음,서초구,15,0
2019,맑음,성동구,5,0
2019,맑음,성북구,2,0
2019,맑음,송파구,5,0
2019,맑음,양천구,2,0
2019,맑음,영등포구,6,0
2019,맑음,용산구,1,0
2019,맑음,은평구,7,0
2019,맑음,종로구,1,0
2019,맑음,중구,2,0
2019,맑음,중랑구,4,0
2019,비,강남구,1,0
2019,비,광진구,2,0
2019,비,서대문구,1,0
2019,비,송파구,2,0
2019,흐림,중랑구,1,0
2020,기타,강남구,5,0
2020,기타,관악구,6,0
2020,기타,중랑구,1,0
2020,눈,강남구,1,0
2020,맑음,강남구,80,0
2020,맑음,강동구,10,0
2020,맑음,강북구,2,0
2020,맑음,강서구,10,0
2020,맑음,관악구,13,0
2020,맑음,광진구,23,0
2020,맑음,구로구,11,0
2020,맑음,금천구,7,0
2020,맑음,노원구,6,0
2020,맑음,도봉구,5,0
2020,맑음,동대문구,10,1
2020,맑음,동작구,10,0
2020,맑음,마포구,27,0
2020,맑음,서대문구,6,0
2020,맑음,서초구,27,0
2020,맑음,성동구,15,0
2020,맑음,성북구,3,0
2020,맑음,송파구,31,0
2020,맑음,양천구,7,0
2020,맑음,영등포구,14,0
2020,맑음,용산구,2,0
2020,맑음,은평구,3,0
2020,맑음,종로구,7,0
2020,맑음,중구,7,0
2020,맑음,중랑구,4,0
2020,비,강남구,4,0
2020,비,관악구,1,0
2020,비,동대문구,1,0
2020,비,마포구,1,0
2020,비,성북구,1,0
2020,비,송파구,1,0
2020,비,용산구,2,0
2020,흐림,강남구,4,0
2020,흐림,강북구,1,0
2020,흐림,관악구,1,0
2020,흐림,광진구,1,0
2020,흐림,구로구,1,0
2020,흐림,노원구,1,0
2020,흐림,도봉구,1,0
2020,흐림,동대문구,1,0
2020,흐림,동작구,1,0
2020,흐림,마포구,4,0
2020,흐림,서대문구,1,0
2020,흐림,서초구,4,0
2020,흐림,양천구,1,0
2020,흐림,중구,1,0
2021,기타,강남구,5,0
2021,기타,관악구,1,0
2021,기타,송파구,3,0
2021,맑음,강남구,71,0
2021,맑음,강동구,7,0
2021,맑음,강북구,16,0
2021,맑음,강서구,16,0
2021,맑음,관악구,12,0
2021,맑음,광진구,18,0
2021,맑음,구로구,9,0
2021,맑음,금천구,2,0
2021,맑음,노원구,16,1
2021,맑음,도봉구,3,0
2021,맑음,동대문구,11,0
2021,맑음,동작구,21,0
2021,맑음,마포구,31,0
2021,맑음,서대문구,10,0
2021,맑음,서초구,27,0
2021,맑음,성동구,16,0
2021,맑음,성북구,5,0
2021,맑음,송파구,54,0
2021,맑음,양천구,4,0
2021,맑음,영등포구,13,0
2021,맑음,용산구,6,0
2021,맑음,은평구,14,0
2021,맑음,종로구,4,0
2021,맑음,중구,6,0
2021,맑음,중랑구,18,0
2021,비,강남구,2,0
2021,비,관악구,1,0
2021,비,광진구,1,0
2021,비,금천구,1,0
2021,비,노원구,2,0
2021,비,동대문구,1,0
2021,비,서초구,2,0
2021,비,양천구,1,0
2021,비,중구,1,0
2021,흐림,강남구,3,0
2021,흐림,강서구,2,0
2021,흐림,동대문구,2,0
2021,흐림,마포구,2,0
2021,흐림,서대문구,2,0
2021,흐림,서초구,1,0
2021,흐림,중구,1,0
2021,흐림,중랑구,1,0
