년도,성별,지자체,발생건수,사망자수
2018,남성,강남구,2,0
2018,남성,강동구,2,0
2018,남성,강서구,2,0
2018,남성,관악구,1,0
2018,남성,광진구,3,0
2018,남성,구로구,4,0
2018,남성,노원구,1,0
2018,남성,도봉구,1,0
2018,남성,동대문구,3,0
2018,남성,동작구,1,0
2018,남성,마포구,3,0
2018,남성,서초구,1,0
2018,남성,성동구,1,0
2018,남성,성북구,3,0
2018,남성,영등포구,3,0
2018,남성,용산구,2,0
2018,남성,은평구,2,0
2018,남성,종로구,3,0
2018,남성,중랑구,3,0
2018,여성,강남구,1,0
2018,여성,강북구,1,0
2018,여성,광진구,1,0
2018,여성,동대문구,2,0
2018,여성,마포구,1,0
2018,여성,성동구,2,0
2018,여성,중랑구,1,0
2019,남성,강남구,25,0
2019,남성,강동구,1,0
2019,남성,강북구,1,0
2019,남성,강서구,2,0
2019,남성,관악구,1,0
2019,남성,광진구,8,0
2019,남성,구로구,3,0
2019,남성,금천구,5,0
2019,남성,노원구,3,0
2019,남성,도봉구,1,0
2019,남성,동대문구,3,0
2019,남성,동작구,1,0
2019,남성,마포구,2,1
2019,남성,서대문구,2,0
2019,남성,서초구,14,0
2019,남성,성동구,4,0
2019,남성,성북구,1,0
2019,남성,송파구,5,0
2019,남성,양천구,1,0
2019,남성,영등포구,5,0
2019,남성,용산구,1,0
2019,남성,은평구,5,0
2019,남성,종로구,1,0
2019,남성,중구,1,0
2019,남성,중랑구,3,0
2019,알수없음,서초구,1,0
2019,여성,강남구,11,0
2019,여성,강동구,1,0
2019,여성,강서구,2,0
2019,여성,관악구,1,0
2019,여성,광진구,1,0
2019,여성,도봉구,2,0
2019,여성,마포구,2,0
2019,여성,서대문구,2,0
2019,여성,서초구,1,0
2019,여성,성동구,1,0
2019,여성,성북구,1,0
2019,여성,송파구,2,0
2019,여성,양천구,1,0
2019,여성,영등포구,1,0
2019,여성,은평구,2,0
2019,여성,중구,1,0
2019,여성,중랑구,2,0
2020,남성,강남구,62,0
2020,남성,강동구,8,0
2020,남성,강북구,3,0
2020,남성,강서구,9,0
2020,남성,관악구,17,0
2020,남성,광진구,15,0
2020,남성,구로구,8,0
2020,남성,금천구,6,0
2020,남성,노원구,5,0
2020,남성,도봉구,6,0
2020,남성,동대문구,8,1
2020,남성,동작구,9,0
2020,남성,마포구,24,0
2020,남성,서대문구,2,0
2020,남성,서초구,23,0
2020,남성,성동구,9,0
2020,남성,성북구,3,0
2020,남성,송파구,20,0
2020,남성,양천구,6,0
2020,남성,영등포구,11,0
2020,남성,용산구,4,0
2020,남성,은평구,3,0
2020,남성,종로구,7,0
2020,남성,중구,5,0
2020,남성,중랑구,3,0
2020,알수없음,성동구,1,0
2020,여성,강남구,32,0
2020,여성,강동구,2,0
2020,여성,강서구,1,0
2020,여성,관악구,4,0
2020,여성,광진구,9,0
2020,여성,구로구,4,0
2020,여성,금천구,1,0
2020,여성,노원구,2,0
2020,여성,동대문구,4,0
2020,여성,동작구,2,0
2020,여성,마포구,8,0
2020,여성,서대문구,5,0
2020,여성,서초구,8,0
2020,여성,성동구,5,0
2020,여성,성북구,1,0
2020,여성,송파구,12,0
2020,여성,양천구,2,0
2020,여성,영등포구,3,0
2020,여성,중구,3,0
2020,여성,중랑구,2,0
2021,남성,강남구,57,0
2021,남성,강동구,5,0
2021,남성,강북구,14,0
2021,남성,강서구,12,0
2021,남성,관악구,13,0
2021,남성,광진구,14,0
2021,남성,구로구,6,0
2021,남성,금천구,2,0
2021,남성,노원구,13,1
2021,남성,도봉구,1,0
2021,남성,동대문구,12,0
2021,남성,동작구,18,0
2021,남성,마포구,23,0
2021,남성,서대문구,10,0
2021,남성,서초구,22,0
2021,남성,성동구,6,0
2021,남성,성북구,4,0
2021,남성,송파구,36,0
2021,남성,양천구,4,0
2021,남성,영등포구,9,0
2021,남성,용산구,5,0
2021,남성,은평구,11,0
2021,남성,종로구,1,0
2021,남성,중구,7,0
2021,남성,중랑구,16,0
2021,알수없음,강남구,1,0
2021,알수없음,강서구,2,0
2021,알수없음,성동구,1,0
2021,알수없음,성북구,1,0
2021,알수없음,종로구,1,0
2021,여성,강남구,23,0
2021,여성,강동구,2,0
2021,여성,강북구,2,0
2021,여성,강서구,4,0
2021,여성,관악구,1,0
2021,여성,광진구,5,0
2021,여성,구로구,3,0
2021,여성,금천구,1,0
2021,여성,노원구,5,0
2021,여성,도봉구,2,0
2021,여성,동대문구,2,0
2021,여성,동작구,3,0
2021,여성,마포구,10,0
2021,여성,서대문구,2,0
2021,여성,서초구,8,0
2021,여성,성동구,9,0
2021,여성,송파구,21,0
2021,여성,양천구,1,0
2021,여성,영등포구,4,0
2021,여성,용산구,1,0
2021,여성,은평구,3,0
2021,여성,종로구,2,0
2021,여성,중구,1,0
2021,여성,중랑구,3,0
