,구,x,y
0,종로구,37.57037777777778,126.98164166666668
1,중구,37.56100277777777,126.99964166666666
2,용산구,37.53609444444445,126.96752222222224
3,성동구,37.56061111111111,127.039
4,광진구,37.535738888888886,127.08453333333333
5,동대문구,37.571625,127.04214166666668
6,중랑구,37.60380555555556,127.09477777777778
7,성북구,37.58638333333334,127.02033333333333
8,강북구,37.63695555555555,127.02771944444444
9,도봉구,37.66583333333333,127.04952222222222
10,노원구,37.65146111111111,127.05838888888889
11,은평구,37.59996944444445,126.93124166666666
12,서대문구,37.57636666666667,126.93889722222222
13,마포구,37.56070555555555,126.91053055555555
14,양천구,37.51423055555556,126.86870833333332
15,강서구,37.54815555555555,126.851675
16,구로구,37.49265,126.88959722222224
17,금천구,37.44910833333333,126.90419722222222
18,영등포구,37.52361111111111,126.89834166666668
19,동작구,37.509655555555554,126.941575
20,관악구,37.47538611111111,126.95384444444444
21,서초구,37.48078611111112,127.03481111111113
22,강남구,37.514575,127.04955555555556
23,송파구,37.51175555555555,127.10793055555555
24,강동구,37.527366666666666,127.12586388888889
